id,product_name,image,link,parsed,n_components,total_mass_g,total_carbon_kg,total_water_l,recyclability_pct,recycled_content_pct,materials_covered,bom_raw_snippet
17,MECCA MAX,demo-reccommandation/17.webp,https://www.mecca.com/en-au/mecca-max/pout-paint-matte-liquid-lipstick-V-074875/?cgpath=makeup-lips-lipstick,True,9,22540.6,9504.3354,1108.63,47.0,45.2,9/9,
18,Morphe,demo-reccommandation/18.webp,https://www.mecca.com/en-au/morphe/soulmatte-velvet-lip-mousse-V-058793/?cgpath=makeup-lips-lipstick,True,8,22498.75,8736.4499,1067.29,47.0,60.2,11/11,
19,Anastasia Beverly Hills,demo-reccommandation/19.webp,https://www.mecca.com/en-au/anastasia-beverly-hills/lip-velvet-V-064905/?cgpath=makeup-lips-lipstick,True,9,19042.8,7992.4014,945.88,47.0,0.0,9/9,
20,MAC Cosmetics,demo-reccommandation/20.webp,https://www.mecca.com/en-au/mac-cosmetics/locked-kiss-ink-24hr-lipcolour-V-058700/?cgpath=makeup-lips-lipstick,True,12,22664.9,8737.0164,1125.7,47.0,1.3,15/15,
21,Shiseido,demo-reccommandation/21.webp,https://www.mecca.com/en-au/shiseido/modernmatte-powder-lipstick-V-853879/?cgpath=makeup-lips-lipstick,True,9,646.7,1.4148,209.27,48.3,63.6,13/13,
22,RMS Beauty,demo-reccommandation/22.webp,https://www.mecca.com/en-au/rms-beauty/legendary-serum-lipstick-the-nudes-V-900684/?cgpath=makeup-lips-lipstick,True,10,19047.9,7992.4523,963.97,47.0,55.6,10/10,
23,Kylie Cosmetics,demo-reccommandation/23.webp,https://www.mecca.com/en-au/kylie-cosmetics/plumping-powder-matte-lip-V-069889/?cgpath=makeup-lips-lipstick,True,10,18906.9,7346.8112,899.73,46.9,1.3,15/15,
24,Glossier,demo-reccommandation/24.webp,https://www.mecca.com/en-au/glossier/g-suit-soft-touch-matte-liquid-lip-creme-V-069680/?cgpath=makeup-lips-lipstick,True,13,2514.4,800.3606,312.33,46.8,56.7,13/13,
25,BYREDO,demo-reccommandation/25.webp,https://www.mecca.com/en-au/byredo/liquid-lipstick-vinyl-V-057348/?cgpath=makeup-lips-lipstick,True,13,22668.0,9504.5567,1144.05,47.0,60.1,13/13,
26,MAC Cosmetics,demo-reccommandation/26.webp,https://www.mecca.com/en-au/mac-cosmetics/retro-matte-liquid-lipcolour-chili-addict-I-058658/?cgpath=makeup-lips-lipstick,True,12,22207.6,8736.2527,1004.0,46.8,28.0,16/16,
27,Ellis Faas,demo-reccommandation/27.webp,https://www.mecca.com/en-au/ellis-faas/milky-lips-V-006804/?cgpath=makeup-lips-lipstick,True,12,22586.0,9504.686,1123.66,46.9,67.7,18/18,
28,Clinique,demo-reccommandation/28.webp,https://www.mecca.com/en-au/clinique/clinique-pop-longwear-lipstick-shine-satin-V-066914/?cgpath=makeup-lips-lipstick,True,10,19044.7,7346.7776,937.16,47.0,44.2,10/10,
29,Urban Decay,demo-reccommandation/29.webp,https://www.mecca.com/en-au/urban-decay/vice-lip-bond-V-057737/?cgpath=makeup-lips-lipstick,True,12,22675.3,9504.8288,1148.49,46.9,67.5,13/13,
30,MAC Cosmetics,demo-reccommandation/30.webp,https://www.mecca.com/en-au/mac-cosmetics/locked-kiss-lipstick-V-062255/?cgpath=makeup-lips-lipstick,True,13,23099.8,9512.7418,2047.47,47.6,,18/18,
