id,product_name,image,link,parsed,caption,tier,component_name,rigid_or_soft,is_reusable,dim_l_mm,dim_w_mm,dim_h_mm,shape,volume_cm3,materials,n_materials,component_mass_g,component_carbon_kg,component_water_l
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",PP,Lipstick Twist Base,Rigid,,35.0,18.0,18.0,cylindrical,11.34,Acrylonitrile Butadiene Styrene:6.5g,1,6.5,0.0339,15.87
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",PP,Lipstick Cap,Rigid,,28.0,22.0,14.0,box,8.62,Polypropylene:4.1g,1,4.1,0.0094,1.64
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",PP,Lipstick Seal (Inner Foil),,,12.0,12.0,0.3,flat,0.04,Aluminium:0.8g,1,0.8,0.017,1.9
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",PP,Lipstick Label (Wrap),,,52.0,35.0,1.2,flat,2.18,Paper - Label:1.8g,1,1.8,0.0034,3.14
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",SP,Carton Box (Folding),,,145.0,92.0,28.0,box,373.52,Folding Box Board:22.5g,1,22.5,0.0553,11.26
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",SP,Carton Insert (Tissue Wrap),,,42.0,28.0,2.5,flat,2.94,Paper - Tissue:2.1g,1,2.1,0.0073,2.7
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",TP,Master Carton (Shipping Box),,,385.0,262.0,125.0,box,12608.75,Corrugated:485.0g,1,485.0,0.8099,129.91
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",TP,Stretch Wrap (Pallet Wrap),,,180.0,360.0,0.15,flat,9.72,Low-Density Polyethylene:125.0g,1,125.0,0.2838,76.85
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",TP,Wooden Pallet,,,1200.0,800.0,150.0,flat,144000.0,Hardwood:18500.0g,1,18500.0,7345.795,753.5
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",PP,Lipstick Tube Body,Rigid,,48.0,12.0,42.0,box,24.19,Polypropylene:8.2g,1,8.2,0.0188,3.27
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",PP,Lipstick Bullet Mould,Rigid,,12.0,8.0,6.0,cylindrical,0.58,Polypropylene:3.1g,1,3.1,0.0071,1.24
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",PP,Twist Base Mechanism,Rigid,,24.0,8.0,6.0,cylindrical,1.15,Polypropylene:4.2g,1,4.2,0.0096,1.68
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",PP,Lipstick Stick (Product),Soft,,12.0,8.0,6.0,cylindrical,0.58,Paraffin Wax:2.8g,1,2.8,0.0036,0.33
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",PP,Outer Cap (Twist Base),Rigid,,12.0,8.0,6.0,cylindrical,0.58,Polypropylene:2.1g,1,2.1,0.0048,0.84
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",PP,Printed Label (Tube),Soft,,48.0,12.0,2.0,flat,1.15,Paper - Label:0.8g,1,0.8,0.0015,1.4
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",SP,Carton Box (Unit),Rigid,,240.0,160.0,40.0,flat,1536.0,Folding Box Board:28.0g,1,28.0,0.0689,14.01
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",SP,Product Insert Leaflet,Soft,,120.0,80.0,20.0,flat,192.0,Paper - Bleached Kraft:2.4g,1,2.4,0.0042,2.21
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",TP,Retail Carton (Master),Rigid,,360.0,240.0,60.0,flat,5184.0,Corrugated:185.0g,1,185.0,0.309,49.55
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",TP,Tissue Wrap (Inner),Soft,,180.0,90.0,30.0,box,486.0,Paper - Tissue:4.2g,1,4.2,0.0145,5.41
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements of the product photo:

The product is presented in a cylindrical tube container, approximately 3.5 inches tall, with a black exterior and a silver-printed logo. A rotating base closure mechanism secures the lipstick stick within the tube.",TP,Corrugated Divider Sheet,Rigid,,120.0,80.0,20.0,flat,192.0,Corrugated:12.5g,1,12.5,0.0209,3.35
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",PP,Lipstick Tube (Barrel),Rigid,False,72.0,12.0,12.0,cylindrical,10.37,Polypropylene:4.2g,1,4.2,0.0096,1.68
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",PP,Lipstick Stick (Product Fill),Soft,False,65.0,8.0,8.0,cylindrical,4.16,Paraffin Wax:2.8g; Talc:0.4g,2,3.2,0.1358,0.36
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",PP,Twist-Up Base (Housing),Rigid,False,28.0,12.0,12.0,cylindrical,4.03,Polypropylene:3.1g,1,3.1,0.0071,1.24
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",PP,Cap (Closure),Rigid,False,18.0,12.0,8.0,box,1.73,Polypropylene:2.4g,1,2.4,0.0055,0.96
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",PP,Inner Seal (Wax Disc),Soft,False,12.0,12.0,2.0,flat,0.29,Paraffin Wax:1.2g,1,1.2,0.0015,0.14
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",SP,Carton Box (Unit Retail),Rigid,False,145.0,85.0,55.0,box,677.88,Folding Box Board:18.5g,1,18.5,0.0455,9.26
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",SP,Product Insert Leaflet,Soft,False,105.0,70.0,2.0,flat,14.7,Paper - Bleached Kraft:1.8g,1,1.8,0.0031,1.65
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",TP,"Master Carton (Shipping Case, 24 units)",Rigid,False,385.0,265.0,185.0,box,18874.62,Corrugated:425.0g,1,425.0,0.7097,113.84
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",TP,Stretch Wrap (Pallet Wrap),Soft,False,180.0,360.0,0.3,flat,19.44,Low-Density Polyethylene:85.0g,1,85.0,0.193,52.26
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the visible elements in the photo:

The product consists of a rectangular, rose-gold container with a twist-up base and a matching rose-gold tube containing a lipstick stick. The lipstick stick is a muted, rosy-beige colour and extends approximately 2.5 centimeters from the tube.",TP,Wooden Pallet (Softwood),Soft,True,1200.0,800.0,150.0,flat,144000.0,Softwood:1850.0g,1,1850.0,799.1445,76.78
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",PP,Lipstick Barrel (Wooden Stick),Rigid,,150.0,12.0,12.0,cylindrical,21.6,Bamboo:8.5g,1,8.5,5.5377,1.04
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",PP,Lipstick Tip (Wax Core),Rigid,,12.0,4.0,4.0,cylindrical,0.19,Paraffin Wax:2.8g,1,2.8,0.0036,0.33
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",PP,Closure Cap (Twist-Based),Rigid,True,18.0,12.0,8.0,box,1.73,Polypropylene:3.2g,1,3.2,0.0073,1.28
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",PP,Inner Seal (Waxed Paper),Soft,,12.0,6.0,1.0,flat,0.07,Paper - Tissue:0.4g,1,0.4,0.0014,0.52
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",SP,Retail Carton Box,Rigid,,120.0,85.0,35.0,box,357.0,Folding Box Board:18.5g,1,18.5,0.0455,9.26
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",SP,Product Insert Leaflet,Soft,,90.0,60.0,2.0,flat,10.8,Paper - Bleached Kraft:1.2g,1,1.2,0.0021,1.1
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",TP,Master Carton (48 Units),Rigid,,580.0,360.0,220.0,box,45936.0,Corrugated:420.0g,1,420.0,0.7014,112.5
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",TP,Stretch Wrap (Pallet),Soft,,1200.0,850.0,150.0,flat,153000.0,Low-Density Polyethylene:180.0g,1,180.0,0.4086,110.66
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,"Here’s a factual caption describing the image:

The photo shows a cylindrical cosmetic stick, approximately 15 centimeters long, with a red-toned tip and a wooden barrel. It features a simple, unadorned design and a twist-based closure at the base.",TP,Wooden Pallet (Softwood),Rigid,True,1200.0,800.0,150.0,flat,144000.0,Softwood:22000.0g,1,22000.0,9503.34,913.0
6,Charlotte Tilbury,demo-reccommandation/6.webp,https://www.mecca.com/en-au/charlotte-tilbury/hot-lips-lipstick-V-051589/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The product is presented in a cylindrical, rose-gold container with a screw-cap closure. The lipstick itself is a muted pink shade and appears to be approximately 3 inches in length.",PP,Lipstick Tube (Cylindrical Container),Rigid,,85,22,85,box,158.95,Polypropylene:12.5g,1,12.5,0.0286,4.99
6,Charlotte Tilbury,demo-reccommandation/6.webp,https://www.mecca.com/en-au/charlotte-tilbury/hot-lips-lipstick-V-051589/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The product is presented in a cylindrical, rose-gold container with a screw-cap closure. The lipstick itself is a muted pink shade and appears to be approximately 3 inches in length.",PP,Lipstick Bullet (Formulation Core),Soft,,32,4,4,cylindrical,0.51,Paraffin Wax:2.8g; Talc:0.5g,2,3.3,0.1688,0.37
6,Charlotte Tilbury,demo-reccommandation/6.webp,https://www.mecca.com/en-au/charlotte-tilbury/hot-lips-lipstick-V-051589/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The product is presented in a cylindrical, rose-gold container with a screw-cap closure. The lipstick itself is a muted pink shade and appears to be approximately 3 inches in length.",PP,Cap (Screw-Closure),Rigid,True,20,20,15,box,6.0,Polypropylene:4.2g,1,4.2,0.0096,1.68
6,Charlotte Tilbury,demo-reccommandation/6.webp,https://www.mecca.com/en-au/charlotte-tilbury/hot-lips-lipstick-V-051589/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The product is presented in a cylindrical, rose-gold container with a screw-cap closure. The lipstick itself is a muted pink shade and appears to be approximately 3 inches in length.",PP,Inner Seal Liner,Soft,,8,8,2,flat,0.13,Low-Density Polyethylene:0.8g,1,0.8,0.0018,0.49
6,Charlotte Tilbury,demo-reccommandation/6.webp,https://www.mecca.com/en-au/charlotte-tilbury/hot-lips-lipstick-V-051589/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The product is presented in a cylindrical, rose-gold container with a screw-cap closure. The lipstick itself is a muted pink shade and appears to be approximately 3 inches in length.",PP,Product Label (Wrap),Soft,,60,40,2,flat,4.8,Paper - Label:1.2g; Ink - Water Based:0.3g,2,1.5,0.0031,2.17
6,Charlotte Tilbury,demo-reccommandation/6.webp,https://www.mecca.com/en-au/charlotte-tilbury/hot-lips-lipstick-V-051589/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The product is presented in a cylindrical, rose-gold container with a screw-cap closure. The lipstick itself is a muted pink shade and appears to be approximately 3 inches in length.",SP,Retail Carton Box (Folding),Soft,,120,85,35,box,357.0,Folding Box Board:28.5g; Ink - Water Based:0.8g,2,29.3,0.0721,14.49
